,country,PDI,IDV,MAS,UAI,num_u,num_q,num_a,num_tp_c,num_tp_e,perc_a,perc_q,perc_tp_c,perc_tp_e,GNI,Internet,EPI,WVS
67,Sweden,31,71,5,29,6980,3.6895924293610096,6.60394145427117,10.2844584268275,4.644417075314349,0.601289398280802,0.5938395415472779,0.334527220630372,0.138968481375358,56210.0,94.0,67.8,2.35
68,Switzerland,34,68,70,58,3623,3.87640423035986,7.49672142931199,12.553783163699501,5.82370146497215,0.635109025669335,0.6028153463980129,0.35992271598123105,0.16864476952801502,82730.0,85.2,58.29,1.9
69,Taiwan,58,17,45,69,1341,2.77835308685041,3.7703682344861096,6.56915770184463,3.89736381553386,0.398210290827741,0.39448173005220005,0.158090976882923,0.0439970171513796,Não Informado,Não Informado,52.56,-1.18
70,Tanzania,70,25,40,50,93,3.0739285171672006,2.55683860630672,4.22876052374815,1.31607401295249,0.32258064516129,0.462365591397849,0.0967741935483871,0.043010752688172005,570.0,12.0,Não Informado,Não Informado
71,Thailand,64,20,34,64,1152,3.59363407441572,4.709103081117919,8.370398834110299,4.01468952277966,0.38888888888888895,0.410590277777778,0.170138888888889,0.0581597222222222,5210.0,23.7,47.79,0.01
72,Turkey,66,37,45,85,4506,3.71117091672467,5.0913225100599195,7.862146777531179,4.13927970260938,0.46759875721260497,0.505326231691079,0.21815357301375896,0.0881047492232579,10830.0,43.1,47.8,-0.33
73,United Kingdom,35,89,66,35,35303,4.21481838001036,7.434663936747941,12.0226979126534,5.4244999903434,0.60377305044897,0.631447752315667,0.33484406424383195,0.151431889641107,38250.0,86.8,Não Informado,1.68
74,United States,40,91,62,46,130197,3.79464097129145,6.72303562573186,10.9848613229064,4.74439599570419,0.588884536510058,0.577578592440686,0.31999969277325896,0.132261112007189,50120.0,77.9,Não Informado,1.76
75,Uruguay,61,36,38,100,569,2.93832546061436,5.5161967244382,8.1230021249101,3.39525717906213,0.567662565905097,0.5184534270650261,0.261862917398946,0.10193321616871699,13510.0,51.4,49.61,0.99
76,Venezuela,81,12,73,76,686,3.72271340154442,3.79707893558345,6.6807835834667095,3.13136590259376,0.45335276967929994,0.5160349854227411,0.19679300291545201,0.0787172011661808,12500.0,Não Informado,46.12,0.43
77,Vietnam,70,20,40,30,2319,2.94580559736516,3.67105563162153,7.16179732131822,4.1586224934499,0.37041828374299296,0.42130228546787396,0.128503665373006,0.03751617076326,1400.0,35.1,51.57,-0.26
78,Zambia,60,35,40,50,47,2.63329076412964,2.61428896358469,281.0,13.0,0.212765957446809,0.44680851063829796,0.0212765957446809,0.0212765957446809,1350.0,11.5,Não Informado,-0.62
